	Bato	Cist	Dara	Euun	Euur	Misp	Mypa	Mysp	Myrt	Posa	Scbu	Stle	Trac	Mo01	Mo02	Mo03	Mo04	Mo05	Mo06	Mo07	Mo08	Mo09	Mo10	Mo11	Mo12	Mo13	Mo14	Mo15
Bale	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chca	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyca	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elpa	1	0	4	0	0	0	0	3	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
Elsp	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kncy	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myma	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Tapr	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tasa	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tual	11	1	0	0	1	0	2	6	0	0	2	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0
Tuam	0	0	2	0	0	0	4	11	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
Turu	14	0	0	1	0	0	1	6	1	0	0	0	2	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0
Viol	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zoca	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
